neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Aclens,122.76,3.0,755.0,7.0
Aigle,79.37,3.0,621.0,8.0
Allaman,182.93,1.0,99.0,12.0
Apples,108.5,4.0,850.0,14.0
Arnex-sur-Nyon,70.0,2.0,1125.0,23.0
Arnex-sur-Orbe,180.0,1.0,365.0,0.0
Arzier-Le Muids,285.8,5.0,590.0,9.0
Assens,148.0,30.0,160.0,0.0
Aubonne,122.76,9.0,693.0,8.0
Avenches,259.72,1.0,755.0,46.0
Ballaigues,76.67,4.0,760.0,4.0
Ballens,67.0,1.0,365.0,0.0
Begnins,87.78,4.0,570.0,15.0
Belmont-sur-Lausanne,193.9,7.0,777.0,9.0
Bex,115.35,2.0,560.0,14.0
Bière,56.0,4.0,40.0,42.0
Blonay,177.84,3.0,759.0,16.0
Bogis-Bossey,87.5,3.0,859.0,5.0
Bonvillars,162.6,3.0,1125.0,24.0
Borex,50.9,1.0,5.0,9.0
Bottens,54.0,1.0,1125.0,9.0
Bourg-en-Lavaux,180.11,8.0,850.0,36.0
Bournens,120.0,3.0,31.0,45.0
Bremblens,67.0,3.0,1125.0,11.0
Buchillon,330.0,12.0,435.0,14.0
Bullet,111.27,4.0,757.0,9.0
Bursinel,95.0,2.0,360.0,62.0
Bursins,67.5,13.0,572.0,15.0
Burtigny,35.0,7.0,1125.0,0.0
Bussigny,91.35,3.0,848.0,30.0
Bussy-Chardonney,105.0,2.0,90.0,44.0
Champagne,40.0,2.0,14.0,37.0
Champvent,128.77,2.0,780.0,21.0
Chardonne,269.96,16.0,771.0,18.0
Chavannes-de-Bogis,100.23,2.0,1125.0,8.0
Chavannes-le-Veyron,347.5,4.0,1125.0,8.0
Chavannes-près-Renens,65.86,3.0,765.0,17.0
Chavannes-sur-Moudon,600.0,4.0,1125.0,3.0
Chavornay,82.85,5.0,684.0,7.0
Cheseaux-Noréaz,92.34,4.0,455.0,17.0
Cheseaux-sur-Lausanne,68.5,2.0,1125.0,1.0
Chevroux,134.63,3.0,474.0,38.0
Chexbres,118.36,1.0,1045.0,30.0
Chigny,332.5,2.0,564.0,4.0
Château-d'Oex,328.5,4.0,778.0,16.0
Commugny,134.65,3.0,700.0,12.0
Concise,125.02,1.0,1125.0,14.0
Coppet,248.33,4.0,460.0,6.0
Corbeyrier,160.0,4.0,1125.0,4.0
Corcelles-le-Jorat,85.0,2.0,483.0,46.0
Corcelles-près-Concise,88.0,1.0,1125.0,33.0
Corcelles-près-Payerne,147.09,1.0,751.0,1.0
Corseaux,123.42,5.0,689.0,11.0
Corsier-sur-Vevey,128.44,4.0,760.0,16.0
Cossonay,77.17,2.0,756.0,46.0
Crans-près-Céligny,147.5,2.0,851.0,28.0
Crassier,125.0,4.0,566.0,16.0
Crissier,59.08,9.0,752.0,10.0
Cuarnens,67.0,2.0,1125.0,78.0
Cuarny,45.0,1.0,1125.0,4.0
Cudrefin,208.86,2.0,966.0,19.0
Cugy (Vaud),200.0,7.0,1125.0,0.0
Daillens,98.0,3.0,1125.0,13.0
Denens,175.22,6.0,102.0,13.0
Denges,75.8,1.0,681.0,6.0
Dompierre (Vaud),273.33,5.0,1125.0,4.0
Donneloye,85.58,2.0,1125.0,9.0
Duillier,76.89,38.0,902.0,22.0
Dully,120.0,2.0,18.0,3.0
Echallens,121.6,1.0,461.0,7.0
Echandens,89.71,4.0,586.0,4.0
Echichens,108.5,8.0,402.0,14.0
Ecublens (Vaud),90.86,5.0,44739953.0,7.0
Epalinges,100.61,5.0,812.0,10.0
Ependes (Vaud),152.5,2.0,1125.0,38.0
Essertes,66.9,1.0,566.0,118.0
Essertines-sur-Rolle,161.53,5.0,692.0,9.0
Etoy,155.51,3.0,926.0,25.0
Eysins,122.17,5.0,572.0,9.0
Faoug,165.59,4.0,632.0,20.0
Fontaines-sur-Grandson,1403.0,11.0,757.0,40.0
Forel (Lavaux),106.63,5.0,753.0,6.0
Founex,156.69,20.0,652.0,34.0
Froideville,78.87,1.0,1125.0,7.0
Féchy,331.92,4.0,849.0,12.0
Genolier,197.0,3.0,687.0,8.0
Giez,50.0,1.0,2.0,0.0
Gilly,138.2,3.0,1125.0,21.0
Gimel,144.0,3.0,1125.0,12.0
Gingins,270.81,4.0,1125.0,15.0
Givrins,92.0,40.0,580.0,6.0
Gland,108.0,11.0,728.0,4.0
Gollion,38.5,2.0,565.0,16.0
Goumoëns,91.67,3.0,1125.0,7.0
Grandevent,125.2,1.0,360.0,2.0
Grandson,100.84,2.0,846.0,16.0
Grens,150.0,1.0,1125.0,0.0
Gryon,244.79,5.0,811.0,9.0
Hermenches,100.33,3.0,60.0,27.0
Jongny,202.64,5.0,659.0,30.0
Jorat-Menthue,148.93,1.0,60.0,16.0
Jorat-Mézières,82.78,5.0,906.0,0.0
Jouxtens-Mézery,60.0,2.0,30.0,1.0
L'Abbaye,135.51,6.0,904.0,25.0
L'Isle,70.0,1.0,570.0,28.0
La Rippe,90.0,2.0,751.0,2.0
La Sarraz,88.5,1.0,30.0,4.0
La Tour-de-Peilz,135.22,3.0,670.0,13.0
Lausanne,101.71,12.0,1322.0,14.0
Lavey-Morcles,104.33,2.0,629.0,15.0
Lavigny,900.0,7.0,1125.0,0.0
Le Chenit,77.28,3.0,711.0,14.0
Le Lieu,141.45,2.0,943.0,28.0
Le Mont-sur-Lausanne,113.46,11.0,806.0,21.0
Le Vaud,73.33,2.0,1125.0,13.0
Leysin,150.19,3.0,936.0,14.0
Lignerolle,66.25,1.0,1125.0,10.0
Lonay,163.75,4.0,289.0,7.0
Longirod,48.63,1.0,568.0,5.0
Lucens,107.33,1.0,770.0,12.0
Lully (Vaud),76.67,3.0,755.0,17.0
Lutry,183.82,5.0,834.0,10.0
Maracon,147.78,3.0,866.0,8.0
Marchissy,90.0,1.0,1125.0,29.0
Mathod,50.0,1.0,1125.0,61.0
Mauborget,82.5,3.0,578.0,0.0
Mex (Vaud),50.0,1.0,1125.0,2.0
Mies,78.33,4.0,389.0,3.0
Moiry,72.13,3.0,21.0,9.0
Mollens (Vaud),215.0,7.0,60.0,0.0
Mont-sur-Rolle,186.98,3.0,649.0,27.0
Montagny-près-Yverdon,55.0,4.0,1125.0,71.0
Montanaire,85.28,4.0,847.0,16.0
Montcherand,68.0,3.0,7.0,52.0
Montherod,90.0,2.0,1125.0,66.0
Montilliez,95.67,2.0,568.0,22.0
Montpreveyres,100.8,4.0,688.0,14.0
Montreux,210.31,5.0,781.0,19.0
Montricher,120.0,3.0,1125.0,1.0
Morges,86.75,4.0,920.0,14.0
Morrens (Vaud),115.5,2.0,745.0,8.0
Moudon,63.46,1.0,384.0,4.0
Novalles,55.0,1.0,7.0,0.0
Noville,509.33,8.0,1125.0,18.0
Nyon,103.29,6.0,733.0,11.0
Ogens,95.93,2.0,1125.0,3.0
Ollon,263.05,4.0,791.0,10.0
Onnens (Vaud),95.0,4.0,1125.0,8.0
Orbe,71.78,1.0,395.0,24.0
Ormont-Dessous,162.55,5.0,593.0,13.0
Ormont-Dessus,368.85,4.0,746.0,11.0
Oron,163.57,3.0,783.0,37.0
Oulens-sous-Echallens,110.0,4.0,1125.0,19.0
Pailly,100.0,3.0,1125.0,48.0
Paudex,137.25,2.0,851.0,21.0
Payerne,286.89,2.0,755.0,6.0
Perroy,158.64,2.0,879.0,24.0
Poliez-Pittet,97.0,14.0,1125.0,0.0
Pomy,288.0,4.0,176.0,23.0
Prangins,92.79,39.0,766.0,9.0
Premier,30.0,1.0,7.0,156.0
Prilly,93.3,8.0,893.0,13.0
Provence,71.25,1.0,1125.0,14.0
Préverenges,240.29,5.0,830.0,20.0
Puidoux,146.49,4.0,762.0,31.0
Pully,96.49,7.0,806.0,12.0
Renens (Vaud),66.53,18.0,848.0,9.0
Rennaz,39.0,1.0,1125.0,184.0
Rivaz,131.53,2.0,764.0,20.0
Roche (Vaud),93.3,2.0,466.0,7.0
Rolle,148.9,5.0,774.0,12.0
Romainmôtier-Envy,87.5,2.0,570.0,26.0
Romanel-sur-Lausanne,78.8,10.0,918.0,3.0
Romanel-sur-Morges,85.0,1.0,7.0,46.0
