neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Affoltern,110.41,7.0,778.0,13.0
Albisrieden,209.22,11.0,742.0,26.0
Alt-Wiedikon,120.61,4.0,798.0,41.0
Altstetten,242.61,14.0,840.0,14.0
City,340.32,4.0,720.0,17.0
Enge,267.19,6.0,759.0,17.0
Escher Wyss,160.81,3.0,740.0,14.0
Fluntern,220.48,9.0,882.0,15.0
Friesenberg,349.58,7.0,777.0,17.0
Gewerbeschule,101.11,5.0,869.0,32.0
Hard,105.9,8.0,682.0,30.0
Hirslanden,131.92,12.0,593.0,18.0
Hirzenbach,84.05,3.0,494.0,17.0
Hochschulen,303.46,4.0,710.0,23.0
Hottingen,124.47,4.0,866.0,26.0
Höngg,132.37,8.0,821.0,23.0
Langstrasse,162.59,10.0,757.0,20.0
Leimbach,66.0,2.0,564.0,6.0
Lindenhof,347.03,6.0,814.0,26.0
Mühlebach,139.83,7.0,849.0,46.0
Oberstrass,120.23,18.0,758.0,31.0
Oerlikon,169.25,11.0,916.0,16.0
Rathaus,218.11,5.0,933.0,66.0
Saatlen,112.28,77.0,579.0,6.0
Schwamendingen-Mitte,70.77,5.0,640.0,6.0
Seebach,119.55,4.0,765.0,13.0
Seefeld,183.52,4.0,894.0,21.0
Sihlfeld,134.4,8.0,816.0,20.0
Unterstrass,165.88,10.0,633.0,14.0
Weinegg,155.79,3.0,816.0,26.0
Werd,141.3,4.0,642.0,33.0
Wipkingen,99.93,8.0,782.0,33.0
Witikon,124.07,6.0,924.0,21.0
Wollishofen,131.6,5.0,732.0,22.0
