neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Affoltern,102.93,7.0,665.0,13.0
Albisrieden,208.8,11.0,742.0,26.0
Alt-Wiedikon,119.25,4.0,794.0,41.0
Altstetten,242.95,14.0,840.0,14.0
City,338.4,3.0,705.0,17.0
Enge,265.08,6.0,743.0,17.0
Escher Wyss,161.56,3.0,740.0,14.0
Fluntern,218.34,9.0,882.0,15.0
Friesenberg,346.05,7.0,777.0,17.0
Gewerbeschule,99.71,5.0,868.0,32.0
Hard,107.48,8.0,682.0,30.0
Hirslanden,123.78,12.0,593.0,18.0
Hirzenbach,83.29,5.0,494.0,17.0
Hochschulen,296.76,4.0,710.0,23.0
Hottingen,123.73,4.0,866.0,26.0
Höngg,127.8,8.0,821.0,23.0
Langstrasse,162.11,10.0,755.0,20.0
Leimbach,59.2,2.0,564.0,6.0
Lindenhof,344.68,6.0,814.0,26.0
Mühlebach,138.9,7.0,849.0,46.0
Oberstrass,118.74,18.0,758.0,31.0
Oerlikon,167.51,11.0,916.0,16.0
Rathaus,217.31,5.0,934.0,66.0
Saatlen,108.5,77.0,579.0,6.0
Schwamendingen-Mitte,70.49,5.0,640.0,6.0
Seebach,118.22,4.0,759.0,13.0
Seefeld,183.75,4.0,894.0,21.0
Sihlfeld,129.11,8.0,805.0,20.0
Unterstrass,164.67,10.0,633.0,14.0
Weinegg,147.72,3.0,816.0,26.0
Werd,139.65,4.0,634.0,33.0
Wipkingen,98.52,8.0,782.0,33.0
Witikon,124.14,6.0,924.0,21.0
Wollishofen,154.77,5.0,729.0,22.0
