neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Affoltern,110.35,7.0,778.0,13.0
Albisrieden,209.13,11.0,742.0,26.0
Alt-Wiedikon,120.1,4.0,794.0,41.0
Altstetten,243.23,14.0,840.0,14.0
City,339.36,4.0,711.0,17.0
Enge,266.55,6.0,758.0,17.0
Escher Wyss,160.76,3.0,740.0,14.0
Fluntern,220.45,9.0,882.0,15.0
Friesenberg,349.58,7.0,777.0,17.0
Gewerbeschule,101.14,5.0,868.0,32.0
Hard,105.31,8.0,682.0,30.0
Hirslanden,131.92,12.0,593.0,18.0
Hirzenbach,84.0,3.0,494.0,17.0
Hochschulen,299.89,4.0,710.0,23.0
Hottingen,124.45,4.0,866.0,26.0
Höngg,132.14,8.0,821.0,23.0
Langstrasse,162.92,10.0,755.0,20.0
Leimbach,66.0,2.0,564.0,6.0
Lindenhof,346.55,6.0,814.0,26.0
Mühlebach,139.78,7.0,849.0,46.0
Oberstrass,120.23,18.0,758.0,31.0
Oerlikon,169.25,11.0,916.0,16.0
Rathaus,217.57,5.0,934.0,66.0
Saatlen,112.21,77.0,579.0,6.0
Schwamendingen-Mitte,70.69,5.0,640.0,6.0
Seebach,119.57,4.0,759.0,13.0
Seefeld,182.72,4.0,894.0,21.0
Sihlfeld,134.0,8.0,814.0,20.0
Unterstrass,164.62,10.0,633.0,14.0
Weinegg,155.76,3.0,816.0,26.0
Werd,141.51,4.0,634.0,33.0
Wipkingen,99.87,8.0,782.0,33.0
Witikon,124.05,6.0,924.0,21.0
Wollishofen,131.55,5.0,729.0,22.0
