neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Affoltern,110.4,7.0,778.0,13.0
Albisrieden,209.19,11.0,742.0,26.0
Alt-Wiedikon,120.66,4.0,794.0,41.0
Altstetten,242.91,14.0,840.0,14.0
City,342.56,4.0,711.0,17.0
Enge,266.06,6.0,758.0,17.0
Escher Wyss,160.92,3.0,740.0,14.0
Fluntern,217.57,9.0,882.0,15.0
Friesenberg,349.58,7.0,777.0,17.0
Gewerbeschule,101.23,5.0,868.0,32.0
Hard,105.74,8.0,682.0,30.0
Hirslanden,132.38,12.0,593.0,18.0
Hirzenbach,84.12,3.0,494.0,17.0
Hochschulen,299.98,4.0,710.0,23.0
Hottingen,124.07,4.0,866.0,26.0
Höngg,132.01,8.0,821.0,23.0
Langstrasse,162.67,10.0,755.0,20.0
Leimbach,66.0,2.0,564.0,6.0
Lindenhof,347.69,6.0,814.0,26.0
Mühlebach,139.66,7.0,849.0,46.0
Oberstrass,120.23,18.0,758.0,31.0
Oerlikon,169.02,11.0,916.0,16.0
Rathaus,221.36,5.0,934.0,66.0
Saatlen,111.99,77.0,579.0,6.0
Schwamendingen-Mitte,70.89,5.0,640.0,6.0
Seebach,119.95,4.0,759.0,13.0
Seefeld,183.95,4.0,894.0,21.0
Sihlfeld,134.0,8.0,814.0,20.0
Unterstrass,165.82,10.0,633.0,14.0
Weinegg,155.84,3.0,816.0,26.0
Werd,141.49,4.0,634.0,33.0
Wipkingen,99.85,8.0,782.0,33.0
Witikon,124.05,6.0,924.0,21.0
Wollishofen,131.53,5.0,729.0,22.0
