neighbourhood,price,minimum_nights,maximum_nights,number_of_reviews
Affoltern,110.23,7.0,778.0,13.0
Albisrieden,209.35,11.0,742.0,26.0
Alt-Wiedikon,121.35,4.0,794.0,41.0
Altstetten,243.53,14.0,840.0,14.0
City,339.36,4.0,711.0,17.0
Enge,266.02,6.0,758.0,17.0
Escher Wyss,161.05,3.0,740.0,14.0
Fluntern,219.11,9.0,882.0,15.0
Friesenberg,349.58,7.0,777.0,17.0
Gewerbeschule,101.14,5.0,868.0,32.0
Hard,106.82,8.0,682.0,30.0
Hirslanden,124.02,12.0,593.0,18.0
Hirzenbach,83.4,3.0,494.0,17.0
Hochschulen,301.21,4.0,710.0,23.0
Hottingen,124.04,4.0,866.0,26.0
Höngg,130.44,8.0,821.0,23.0
Langstrasse,162.7,10.0,755.0,20.0
Leimbach,66.0,2.0,564.0,6.0
Lindenhof,345.41,6.0,814.0,26.0
Mühlebach,139.51,7.0,849.0,46.0
Oberstrass,120.27,18.0,758.0,31.0
Oerlikon,168.94,11.0,916.0,16.0
Rathaus,221.9,5.0,934.0,66.0
Saatlen,112.0,77.0,579.0,6.0
Schwamendingen-Mitte,70.69,5.0,640.0,6.0
Seebach,119.9,4.0,759.0,13.0
Seefeld,187.39,4.0,894.0,21.0
Sihlfeld,134.09,8.0,814.0,20.0
Unterstrass,165.64,10.0,633.0,14.0
Weinegg,155.76,3.0,816.0,26.0
Werd,142.06,4.0,634.0,33.0
Wipkingen,100.2,8.0,782.0,33.0
Witikon,124.05,6.0,924.0,21.0
Wollishofen,142.08,5.0,729.0,22.0
